,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
93,"Sun, Nov 14, 1999",Philadelphia 76ers,93.0,Toronto Raptors,90.0,Box Score,,16661.0,
94,"Sun, Nov 14, 1999",Los Angeles Clippers,89.0,Vancouver Grizzlies,109.0,Box Score,,12774.0,
95,"Mon, Nov 15, 1999",Indiana Pacers,96.0,Houston Rockets,87.0,Box Score,,14866.0,
96,"Mon, Nov 15, 1999",Seattle SuperSonics,100.0,New Jersey Nets,92.0,Box Score,,12474.0,
97,"Mon, Nov 15, 1999",Los Angeles Lakers,91.0,Phoenix Suns,82.0,Box Score,,19023.0,
98,"Mon, Nov 15, 1999",San Antonio Spurs,85.0,Utah Jazz,91.0,Box Score,,19584.0,
99,"Tue, Nov 16, 1999",Charlotte Hornets,98.0,Atlanta Hawks,103.0,Box Score,,11426.0,
100,"Tue, Nov 16, 1999",Houston Rockets,95.0,Dallas Mavericks,114.0,Box Score,,14371.0,
101,"Tue, Nov 16, 1999",New York Knicks,102.0,Denver Nuggets,95.0,Box Score,,13196.0,
102,"Tue, Nov 16, 1999",Chicago Bulls,79.0,Golden State Warriors,99.0,Box Score,,10340.0,
103,"Tue, Nov 16, 1999",Portland Trail Blazers,101.0,Miami Heat,96.0,Box Score,,15200.0,
104,"Tue, Nov 16, 1999",Los Angeles Clippers,93.0,Milwaukee Bucks,101.0,Box Score,,12465.0,
105,"Tue, Nov 16, 1999",Vancouver Grizzlies,77.0,Sacramento Kings,81.0,Box Score,,14169.0,
106,"Tue, Nov 16, 1999",Indiana Pacers,87.0,San Antonio Spurs,90.0,Box Score,OT,15905.0,
107,"Tue, Nov 16, 1999",Detroit Pistons,85.0,Toronto Raptors,89.0,Box Score,,14273.0,
108,"Tue, Nov 16, 1999",Philadelphia 76ers,95.0,Washington Wizards,73.0,Box Score,,14524.0,
109,"Wed, Nov 17, 1999",Cleveland Cavaliers,103.0,Boston Celtics,114.0,Box Score,,14140.0,
110,"Wed, Nov 17, 1999",Dallas Mavericks,99.0,Charlotte Hornets,104.0,Box Score,,15137.0,
111,"Wed, Nov 17, 1999",New Jersey Nets,107.0,Detroit Pistons,109.0,Box Score,,12683.0,
112,"Wed, Nov 17, 1999",Los Angeles Clippers,89.0,Minnesota Timberwolves,85.0,Box Score,,13677.0,
113,"Wed, Nov 17, 1999",Portland Trail Blazers,81.0,Orlando Magic,79.0,Box Score,,13542.0,
114,"Wed, Nov 17, 1999",Miami Heat,98.0,Philadelphia 76ers,93.0,Box Score,,15671.0,
115,"Wed, Nov 17, 1999",Chicago Bulls,81.0,Phoenix Suns,105.0,Box Score,,18480.0,
116,"Wed, Nov 17, 1999",Golden State Warriors,108.0,Seattle SuperSonics,111.0,Box Score,,15336.0,
117,"Wed, Nov 17, 1999",New York Knicks,90.0,Utah Jazz,98.0,Box Score,,18890.0,
118,"Thu, Nov 18, 1999",Los Angeles Lakers,82.0,Denver Nuggets,93.0,Box Score,,15218.0,
119,"Thu, Nov 18, 1999",Sacramento Kings,128.0,Houston Rockets,110.0,Box Score,,14898.0,
120,"Thu, Nov 18, 1999",San Antonio Spurs,88.0,Milwaukee Bucks,99.0,Box Score,,15184.0,
121,"Thu, Nov 18, 1999",Seattle SuperSonics,110.0,Vancouver Grizzlies,108.0,Box Score,,12275.0,
122,"Thu, Nov 18, 1999",Toronto Raptors,81.0,Washington Wizards,92.0,Box Score,,12134.0,
123,"Fri, Nov 19, 1999",New Jersey Nets,96.0,Boston Celtics,109.0,Box Score,,15201.0,
124,"Fri, Nov 19, 1999",Sacramento Kings,103.0,Dallas Mavericks,94.0,Box Score,,15507.0,
125,"Fri, Nov 19, 1999",Cleveland Cavaliers,90.0,Detroit Pistons,101.0,Box Score,,15377.0,
126,"Fri, Nov 19, 1999",Atlanta Hawks,105.0,Indiana Pacers,99.0,Box Score,,18345.0,
127,"Fri, Nov 19, 1999",Chicago Bulls,95.0,Los Angeles Lakers,103.0,Box Score,,18401.0,
128,"Fri, Nov 19, 1999",Utah Jazz,84.0,Minnesota Timberwolves,89.0,Box Score,,17517.0,
129,"Fri, Nov 19, 1999",Charlotte Hornets,103.0,Orlando Magic,92.0,Box Score,,12936.0,
130,"Fri, Nov 19, 1999",Portland Trail Blazers,97.0,Philadelphia 76ers,91.0,Box Score,,20622.0,
131,"Fri, Nov 19, 1999",New York Knicks,81.0,Phoenix Suns,96.0,Box Score,,19023.0,
132,"Fri, Nov 19, 1999",Los Angeles Clippers,100.0,Toronto Raptors,106.0,Box Score,,16368.0,
133,"Sat, Nov 20, 1999",Orlando Magic,107.0,Atlanta Hawks,103.0,Box Score,,14338.0,
134,"Sat, Nov 20, 1999",Portland Trail Blazers,100.0,Charlotte Hornets,96.0,Box Score,OT,20688.0,
135,"Sat, Nov 20, 1999",Indiana Pacers,107.0,Cleveland Cavaliers,98.0,Box Score,,13806.0,
136,"Sat, Nov 20, 1999",Chicago Bulls,86.0,Denver Nuggets,95.0,Box Score,,15920.0,
137,"Sat, Nov 20, 1999",New York Knicks,86.0,Golden State Warriors,79.0,Box Score,,18533.0,
138,"Sat, Nov 20, 1999",Boston Celtics,92.0,Miami Heat,110.0,Box Score,,15200.0,
139,"Sat, Nov 20, 1999",Utah Jazz,111.0,Milwaukee Bucks,100.0,Box Score,,18027.0,
140,"Sat, Nov 20, 1999",Philadelphia 76ers,100.0,New Jersey Nets,96.0,Box Score,,15118.0,
141,"Sat, Nov 20, 1999",Dallas Mavericks,90.0,San Antonio Spurs,106.0,Box Score,,16596.0,
142,"Sat, Nov 20, 1999",Houston Rockets,107.0,Seattle SuperSonics,110.0,Box Score,,15816.0,
143,"Sat, Nov 20, 1999",Los Angeles Clippers,98.0,Washington Wizards,89.0,Box Score,,11753.0,
144,"Sun, Nov 21, 1999",Milwaukee Bucks,94.0,Detroit Pistons,113.0,Box Score,,13163.0,
145,"Sun, Nov 21, 1999",Toronto Raptors,111.0,Los Angeles Lakers,102.0,Box Score,,18676.0,
146,"Sun, Nov 21, 1999",Seattle SuperSonics,86.0,Phoenix Suns,99.0,Box Score,,18663.0,
147,"Sun, Nov 21, 1999",Houston Rockets,105.0,Sacramento Kings,110.0,Box Score,,17317.0,
148,"Sun, Nov 21, 1999",Minnesota Timberwolves,105.0,Vancouver Grizzlies,81.0,Box Score,,12493.0,
149,"Mon, Nov 22, 1999",Indiana Pacers,85.0,Boston Celtics,95.0,Box Score,,15728.0,
150,"Mon, Nov 22, 1999",San Antonio Spurs,94.0,Philadelphia 76ers,91.0,Box Score,,16553.0,
151,"Mon, Nov 22, 1999",Minnesota Timberwolves,93.0,Utah Jazz,108.0,Box Score,,19725.0,
152,"Tue, Nov 23, 1999",Miami Heat,106.0,Atlanta Hawks,113.0,Box Score,,11279.0,
153,"Tue, Nov 23, 1999",Portland Trail Blazers,100.0,Cleveland Cavaliers,103.0,Box Score,,13565.0,
154,"Tue, Nov 23, 1999",Dallas Mavericks,99.0,Houston Rockets,119.0,Box Score,,15088.0,
155,"Tue, Nov 23, 1999",New York Knicks,95.0,Los Angeles Clippers,100.0,Box Score,,14487.0,
156,"Tue, Nov 23, 1999",Toronto Raptors,93.0,Phoenix Suns,94.0,Box Score,,18718.0,
157,"Tue, Nov 23, 1999",New Jersey Nets,92.0,Sacramento Kings,105.0,Box Score,,17021.0,
158,"Tue, Nov 23, 1999",Vancouver Grizzlies,87.0,Washington Wizards,89.0,Box Score,,11219.0,
159,"Wed, Nov 24, 1999",San Antonio Spurs,121.0,Boston Celtics,98.0,Box Score,,17426.0,
160,"Wed, Nov 24, 1999",Vancouver Grizzlies,73.0,Charlotte Hornets,89.0,Box Score,,16003.0,
161,"Wed, Nov 24, 1999",Toronto Raptors,84.0,Denver Nuggets,109.0,Box Score,,13624.0,
162,"Wed, Nov 24, 1999",New Jersey Nets,92.0,Golden State Warriors,84.0,Box Score,,10017.0,
163,"Wed, Nov 24, 1999",Utah Jazz,82.0,Los Angeles Lakers,90.0,Box Score,,18997.0,
164,"Wed, Nov 24, 1999",Atlanta Hawks,91.0,Miami Heat,93.0,Box Score,,14554.0,
165,"Wed, Nov 24, 1999",Chicago Bulls,95.0,Milwaukee Bucks,102.0,Box Score,,14209.0,
166,"Wed, Nov 24, 1999",Portland Trail Blazers,88.0,Minnesota Timberwolves,81.0,Box Score,,16219.0,
167,"Wed, Nov 24, 1999",Dallas Mavericks,100.0,Orlando Magic,112.0,Box Score,,12741.0,
168,"Wed, Nov 24, 1999",Washington Wizards,101.0,Philadelphia 76ers,93.0,Box Score,,14616.0,
169,"Thu, Nov 25, 1999",Detroit Pistons,107.0,Indiana Pacers,99.0,Box Score,,18345.0,
170,"Fri, Nov 26, 1999",Milwaukee Bucks,114.0,Boston Celtics,112.0,Box Score,,18027.0,
171,"Fri, Nov 26, 1999",Washington Wizards,85.0,Charlotte Hornets,118.0,Box Score,,18542.0,
172,"Fri, Nov 26, 1999",Minnesota Timberwolves,105.0,Denver Nuggets,114.0,Box Score,,18506.0,
173,"Fri, Nov 26, 1999",Atlanta Hawks,91.0,Detroit Pistons,93.0,Box Score,,17891.0,
174,"Fri, Nov 26, 1999",Vancouver Grizzlies,86.0,Indiana Pacers,105.0,Box Score,,18345.0,
175,"Fri, Nov 26, 1999",New Jersey Nets,80.0,Los Angeles Lakers,103.0,Box Score,,18997.0,
176,"Fri, Nov 26, 1999",Cleveland Cavaliers,83.0,Philadelphia 76ers,106.0,Box Score,,16320.0,
177,"Fri, Nov 26, 1999",Houston Rockets,88.0,Portland Trail Blazers,91.0,Box Score,OT,20477.0,
178,"Fri, Nov 26, 1999",Golden State Warriors,95.0,Sacramento Kings,124.0,Box Score,,17317.0,
179,"Fri, Nov 26, 1999",Chicago Bulls,78.0,San Antonio Spurs,101.0,Box Score,,24919.0,
180,"Fri, Nov 26, 1999",Los Angeles Clippers,93.0,Seattle SuperSonics,98.0,Box Score,,14439.0,
181,"Fri, Nov 26, 1999",Toronto Raptors,100.0,Utah Jazz,87.0,Box Score,,19771.0,
182,"Sat, Nov 27, 1999",Boston Celtics,84.0,Atlanta Hawks,94.0,Box Score,,13736.0,
183,"Sat, Nov 27, 1999",Charlotte Hornets,89.0,Cleveland Cavaliers,106.0,Box Score,,15194.0,
184,"Sat, Nov 27, 1999",Chicago Bulls,83.0,Dallas Mavericks,95.0,Box Score,,14436.0,
185,"Sat, Nov 27, 1999",Toronto Raptors,106.0,Golden State Warriors,88.0,Box Score,,12251.0,
186,"Sat, Nov 27, 1999",Portland Trail Blazers,88.0,Los Angeles Clippers,71.0,Box Score,,14552.0,
187,"Sat, Nov 27, 1999",Washington Wizards,86.0,Miami Heat,89.0,Box Score,,14621.0,
188,"Sat, Nov 27, 1999",Philadelphia 76ers,82.0,Milwaukee Bucks,79.0,Box Score,,15216.0,
189,"Sat, Nov 27, 1999",Vancouver Grizzlies,82.0,Minnesota Timberwolves,113.0,Box Score,,16881.0,
190,"Sat, Nov 27, 1999",Orlando Magic,96.0,New York Knicks,99.0,Box Score,,19763.0,
191,"Sat, Nov 27, 1999",New Jersey Nets,90.0,Phoenix Suns,129.0,Box Score,,19023.0,
192,"Sat, Nov 27, 1999",Denver Nuggets,87.0,San Antonio Spurs,106.0,Box Score,,22188.0,
193,"Sun, Nov 28, 1999",Orlando Magic,108.0,Detroit Pistons,99.0,Box Score,,13212.0,
194,"Sun, Nov 28, 1999",Indiana Pacers,91.0,Seattle SuperSonics,102.0,Box Score,,14644.0,
195,"Mon, Nov 29, 1999",Sacramento Kings,88.0,Miami Heat,98.0,Box Score,,14723.0,
196,"Mon, Nov 29, 1999",Dallas Mavericks,82.0,New York Knicks,107.0,Box Score,,19763.0,
197,"Mon, Nov 29, 1999",Indiana Pacers,93.0,Portland Trail Blazers,91.0,Box Score,,20049.0,
198,"Mon, Nov 29, 1999",Golden State Warriors,99.0,Utah Jazz,115.0,Box Score,,18892.0,
